Tm_ServiceCode; Title
10530; Техническое заключение об инженерно-геологических изысканиях
10531; Проект производства работ
10532; Ситуационный план
10533; Технологический регламент
10539; Выписка из ЕГРП о признании правообладателя недееспособным
10540; Кадастровая справка о кадастровой стоимости земельного участка
10541; Кадастровый план территории
10542; Согласование маршрута транспортного средства, осуществляющего перевозку опасных грузов
10543; Сведения о принадлежности имущества к государственной собственности субъекта Российской Федерации либо муниципальной собственности
10544; Договор аренды транспортного средства
10545; Нотариально заверенная доверенность на право распоряжения транспортным средство
10546; Выписка из реестра лицензий города Москвы на розничную продажу алкогольной продукции
10547; Запрос сведений о состоянии расчетов по страховым взносам, пеням и штрафам плательщика страховых взносов – для физических лиц
10548; Предоставление сведений о состоянии расчетов по страховым взносам, пеням и штрафам плательщика страховых взносов – для юридических лиц
10549; Предоставление сведений об отсутствии регистрации гражданина в качестве лица, добровольно вступившего в правоотношения по обязательному социальному страхованию на случай временной нетрудоспособности
10550; Выписка из приказа об увольнении со службы с указанием основания увольнения
10551; Справка об общей продолжительности службы
10552; Справка о смерти лица необоснованно репрессированного, смерть которого зарегистрирована ранее
10553; Сведения, подтверждающие, что гражданин является реабилитированным лицом
10554; Сведения из реестра адвокатов субъектов Российской Федерации
10555; Получение информации о предприятии из баз данных Бухгалтерская отчетность организаций
10556; Предоставление сведений из статистического регистра Росстата
10557; Сервис предоставления cправок о факте смерти лица, необоснованно репрессированного и впоследствии реабилитированного
10558; Свидетельство о размещении нестационарного торгового объекта
10559; Включение сезонного кафе при стационарном предприятии общественного питания в схему размещения нестационарных торговых объектов
10560; Сведения о продолжительности периодов работы в районах Крайнего Севера
10561; Предоставление сведений из реестра аккредитованных лиц
10562; Сведения о членстве заявителя в саморегулируемой организации по видам деятельности с указанием видов работ
10563; Заключение о соответствии построенного, реконструированного объекта капитального строительства требованиям технических регламентов и проектной документации
10564; Акт о выполненных ликвидационных (консервационных) работах, подписанный органом государственного горного надзора
10565; Сведения, содержащиеся в горноотводном акте, удостоверяющем уточнение границы горного отвода
10566; Сообщение (или запрос) о нахождении должника по алиментным обязательствам в исполнительно-процессуальном розыске, в т.ч. о том, что в месячный срок место нахождения должника не установлено
10567; Сведения из государственного сводного реестра выданных, приостановленных и аннулированных лицензий на производство и оборот, о лицензиях на производство, хранение и поставки
10568; Сведения о краже, хищении документа
10569; Запрос сведений о прекращении выплаты пенсии по лини ведомства
10570; Запрос сведений о периодах прохождения военной службы
10571; Запрос сведений о периодах службы, предшествовавших назначению пенсии по инвалидности
10572; Запрос сведений о периоде проживания супругов военнослужащих
10573; Запрос сведений о назначении выплаты пенсии по линии ведомства
10574; Запрос сведений о гибели сотрудника
10575; Сведения из лицензии на осуществление деятельности по реставрации объектов культурного наследия для юридических лиц
10576; Сведения из лицензии на осуществление деятельности по реставрации объектов культурного наследия для индивидуальных предпринимателей
10577; Сведения о гибели (смерти) сотрудника, в т.ч. признание без вести пропавшим, при исполнении обязанностей военной службы (в том числе контртеррористических операций)
10578; Сведения о заработной плате или доходе, на которые начислены страховые взносы в соответствии с законодательством Российской Федерации
10579; Сведения по монтажу, техническому обслуживанию и ремонту средств обеспечения пожарной безопасности зданий и сооружений
10580; Запрос сведений из реестра сертификатов на обслуживание и ремонт авиационной техники, в том числе авиационной техники двойного назначения для юридического лица
10581; Сервис предоставления сведений о наличии судов внутреннего плавания
10582; Справка об общей продолжительности службы, выдаваемая ФСБ относительно уволенных сотрудников ФСБ России
10583; Сервис представления сведений из деклараций на товары и таможенных приходных ордеров
10584; Сведения из документа о прохождении военной (иной службы) военнослужащего (служащего)
10585; Сведения о размере пенсии застрахованного лица
10586; Заключение государственной экологической экспертизы
10587; Запрос сведений, содержащихся в документе, подтверждающем наличие лицензии, на производство маркшейдерских работ
10588; Сведения о наличии лицензии на деятельность по эксплуатации химически опасных производственных объектов
10589; Разрешение на применение технического устройства на опасных производственных объектах
10590; Запрос сведений из лицензии на осуществление перевозок воздушным транспортом грузов и пассажиров для юридического лица
10591; Сведения о размере ежемесячных страховых выплат по обязательному социальному страхованию от несчастных случаев на производстве и профессиональных заболеваний
10592; Сведения об обременениях недвижимости в составе сведений о недвижимости
10593; Генеральный план города Москвы (утвержденная часть)
10594; Проект планировки территории
10595; Проект межевания территории
10596; Правовой документ об изъятии земельных участков и резервировании земель для государственных или муниципальных нужд
10597; Разрешение на условно разрешенные виды использования земельных участков и объектов капитального строительства
10598; Разрешение на отклонение от предельных параметров разрешенного строительства, реконструкции объектов капитального строительства
10599; Территориальная схема
10600; Отраслевая схема
10601; Правовой документ об утверждении, изменении границ территорий объектов культурного наследия, зон охраны объектов культурного наследия и исторических зон
10602; Правовой документ об образовании и утверждении границ особо охраняемых природных территорий
10603; Договор бессрочного пользования
10604; Уведомление об отказе в предоставлении услуги
10605; Уведомление о предоставлении услуги
10606; Уведомление о рассмотрении дизийн-проекта размещении вывески
10607; Справка по разделу ИАИС ОГД
10608; Копия документа ИАИС ОГД
10609; Платежное поручение на оплату
10610; Документ об расторжении договора на установку рекламной конструкции
10611; Выписка из домовой книги (сведения с 2011 года, предоставление в операторском режиме)
10612; Единый жилищный документ (автоматическое предоставление сведений по адресу гражданина)
10613; Выписка из домовой книги (автоматическое предоставление сведений по адресу гражданина)
10614; Выписка из домовой книги ( с архивными сведениями, автоматическое предоставление сведений по адресу гражданина)
10615; Сведения о зарегистрированных транспортных средствах и их владельцах
10616; Пояснительная записка с исходн данными по подготовке проектной документации по приспособлению объекта культурного наследия для соврем испол и резуль-тов инженерных изысканий, технические условия
10617; Планировочные решения
10618; Конструктивные решения
10619; Проект организации реставрации
10620; Перечень мероприятий по охране окружающей среды
10621; Перечень мероприятий по обеспечению доступа инвалидов к объекту культурного наследия
10622; Смета на проведение работ по приспособлению объекта культурного наследия для современного использования
10623; Перечень мероприятий по обеспечению соблюдения требований энергетической эффективности, в части оснащенности объекта культурного наследия приборами учета используемых энергетических ресурсов
10624; Сведения о начислениях, платежах и задолженности по услугам ЖКХ
10625; Выписка из домовой книги (предоставление в операторском режиме сведений по адресу гражданина)
10626; Выписка из домовой книги (сведения с 2011 года, предоставление в операторском режиме сведений по адресу гражданина)
10660; Распоряжения префекта о признании помещения жилым помещением, жилого помещения пригодным для проживания
10661; Распоряжения префекта о признании помещения жилым помещением, жилого помещения непригодным для проживания
10662; Письмо-предложение префектуры административного округа города Москвы
10663; Информационное письмо префектуры административного округа города Москвы
10664; Распоряжения префекта административного округа города Москвы о назначении уполномоченного представителя префектуры административного округа города Москвы при проведении публичного мероприятия
10665; Уведомление о предоставлении места для продажи товаров на ярмарке выходного дня
10666; Ведомость объемов земляных масс из проекта организации строительства
10667; Заключение по санитарно-эпидемиологическому и экологическому обследованию ОСС
10668; Заключение по санитарно-экологическому обследованию грунта: радиационное, токсико-химическое, бактериологическое
10669; Карточка учета организации
10670; Лабораторное заключение об отнесении отхода к 5 классу опасности для окружающей среды
10671; Лицензия на обращение с опасными отходами транспортной организации
10672; Лицензия отходополучателя, заверенная отходополучателем, при размещении грунта на полигонах, рекультивируемых карьерах и санкционированных свалках
10673; Локальная смета по земляным работам
10674; Заявление на получение ордера ОАТИ
10675; Паспорт опасного отхода
10676; Разрешение на перевозку грунта
10677; Свободные лимиты отходополучателя
10678; Смета на работы подготовительного периода
10679; Смета по вертикальной планировке
10680; Талоны на перевозку грунта в городе Москве
10681; Техническое заключение (характеристика и вертикальный разрез грунта).
10682; Акт аренды земли
10683; Инженерно-экологические изыскания
10684; Акт приема-передачи земельного участка по договору аренды
10685; Кадастровая справка о кадастровой стоимости объекта недвижимости
10686; Информация о скоропортящихся и замороженных продуктах
10687; Договор грузовой перевозки (CMR)
10688; Сведения о среднесписочной численности работников за предшествующий календарный год с отметкой налогового органа
10689; Формы бухгалтерской отчетности - баланс (Ф1) и отчет о прибылях и убытках (Ф2) с отметкой налогового органа
10690; Декларация по налогу на доходы физических лиц по форме 3НДФЛ
10691; Декларация по единому налогу на вмененный доход для отдельных видов деятельности
10692; Выписка из реестра акционеров, заверенная реестродержателем
10693; Выписка из реестра участников общества с указанием гражданства физических лиц - участников общества и долей участников в уставном капитале
10694; Справка о праве на получение социальной услуги по санаторно-курортному лечению
10695; Копия заключения бюро судебно-медицинской экспертизы либо копию постановления о признании потерпевшим
10696; Заключение органа, уполномоченного на проведение государственного контроля и надзора
10697; Электронный билет
10698; Согласие на обработку персональных данных
10699; Мотивированный отказ ДТиРДТИ
10700; Схема распределения долей собственников помещений в праве общей собственности на общее имущество в многоквартирном дома
10701; Лист регистрации
10702; Письменные решения собственников помещений в многоквартирном доме при проведении общего собрания собственников помещений в многоквартирном доме по вопросу о формировании земельного участка
10703; Протокол общего собрания собственников помещений в многоквартирном доме по вопросу о формировании земельного участка
10704; Копии документов, подтверждающие наличие у заявителя в собственности или на ином законном основании помещений
10705; Копии документов, подтверждающих наличие у заявителя в собственности или на ином законном основании приборов
10706; Копии документов, подтверждающих наличие в штате заявителя специалистов
10707; Копии документов, подтверждающих соответствие уровня профессионального образования
10708; Разрешение органа опеки и попечительства о расходовании средств материнского капитала по выбранным направлениям
10709; Документ, подтверждающий приобретение несовершеннолетним ребенком (детьми) дееспособности в полном объеме до достижения совершеннолетия
10710; Свидетельство о праве собственности на жилое помещение лица, получившего сертификат, и (или) его супруга
10711; Засвидетельствованное в установленном законодательством Российской Федерации порядке письменное обязательство лица (лиц)
10712; Выписка из Единого государственного реестра прав на недвижимое имущество и сделок с ним на выкупаемое недвижимое имущество.
10713; Выписка из государственного кадастра недвижимости на выкупаемое недвижимое имущество.
10714; Информация о периодах включения заявителя в Реестр субъектов малого и среднего предпринимательства города Москвы с указанием сведений о наличии в указанных периодах права на поддержку.
10715; Документы кадастрового и технического учета
10716; Документ, подтверждающий право собственности лица, получившего сертификат, или супруга лица, получившего сертификат
10717; Выписка из реестра членов кооператива, подтверждающая членство в кооперативе лица, получившего сертификат, или супруга лица, получившего сертификат
10718; Справка о внесенной сумме паевого взноса за жилое помещение и об оставшейся неуплаченной сумме паевого взноса
10719; Справка кредитора о размерах остатка основного долга и остатка задолжности по выплате процентов за пользование кредитом или займом
10720; Документ,содержащий сведения о внесённой сумме в счёт уплаты цены договора участия в долевом строительстве и об оставшейся неоплаченной сумме по договору
10721; Договор на оказание платных образовательных услуг
10722; Договор между образовательным учреждением и лицом, получившим сертификат
10723; Договор заключенный, владельцем сертификата с негосударственным пенсионным фондом
10724; Акт освидетельствования проведения основных работ по строительству объекта
10725; Справка лица, осуществляющего отчуждение жилого помещения по договору купли-продажи с рассрочкой платежа, о размерах оставшейсянеуплаченной суммы по договору
10726; Декларация по налогу, уплачиваемому в связи с применением упрощенной системы налогообложения
10727; Письмо заявителя о рассмотрении вопроса
10728; Форма 1П
10729; Адресный листок прибытия
10730; Адресный листок убытия
10731; Форма 8
10732; Форма №12 В
10733; Форма №6
10734; Сведения о представителе жилого помещения
10735; Форма №1
10736; Форма №3
10737; Факт въезда иностранного гражданина в Российскую Федерацию
10738; Факт регистрации рождения на территории Российской Федерации иностранного гражданина или иного лица, не приобретающих на момент рождения гражданства Российской Федерации
10739; Факт утраты гражданства Российской Федерации лицом, находящимся в Российской Федерации
10740; Постановка иностранного гражданина на учет по новому месту пребывания
10741; Факт выезда иностранного гражданина из Российской Федерации
10742; Смерть иностранного гражданина в Российской Федерации
10743; Вступление в законную силу решения суда о признании иностранного гражданина, находившегося в Российской Федерации, безвестно отсутствующим или об объявлении его умершим
10744; Факт приобретения гражданства Российской Федерации иностранным гражданином, находящимся в Российской Федерации
10745; Свидетельство о годности (допуске) воздушного судна к полетам и занесении в соответствующий Государственный реестр воздушных судов Российской Федерации
10746; Сертификат (свидетельство) у командиров воздушных судов Российской Федерации по специальности, допуске к выполнению планируемого вида полетов
10747; Вид летной подготовки, не превышающий установленные сроки
10748; Согласования (заключения) получаемые уполномоченным должностным лицом
10749; Лицензия на право проведения фейерверочных показов
10750; Выкопировка схемы места проведения фейерверочного показа с обозначением пусковой площадки и границ охранной зоны, согласованной с ГУ МВД по г.Москве и Главным управлением МЧС России по г.Москве
10751; Технологическая документация, регламентирующая безопастность выполняемых работ
10752; Документ, удостоверяющий личность гражданина
10753; Решение о приостановлении предоставления государственной услуги
10754; Договор с отходополучателем
10755; Аттестат об основном общем образовании
10756; Аттестат о среднем общем образовании
10757; Диплом начального профессионального образования
10758; Диплом среднего профессионального образования
10759; Документы по планировке территории
10760; Соглашение о проведении реконструкции, определяющее, в том числе условия и порядок возмещения ущерба
10761; Пояснительное письмо от Заказчика с указанием причины
10762; Договор поручительства банка за надлежащее исполнение застройщиком обязательств по передаче жилого помещения по договору участия в долевом строительстве
10763; Договор страхования гражданской ответственности лица
10764; Разрешение на строительство, реконструкцию
10765; Договор на ведение функций заказчика
10766; Документ представителя
10767; Акт разбивки осей здания
10768; Соглашение о передаче полномочий государственного (муниципального) заказчика, заключенного при осуществлении бюджетных инвестиций
10769; Информация из реестра федерального имущества
10770; Копия заключения органов по контролю за оборотом наркотических средств и психотропных веществ о соответствии установленным требованиям объектов и помещений
10771; Копия заключения органов по контролю за оборотом наркотических средств и психотропных веществ об отсутствии у работников судимости
10772; Справка о получении пособия в Департаменте труда и занятости населения (новая версия)
10773; Сведения об административных правонарушениях в области дорожного движения
10774; Разрешение на выполнение авиационных работ, парашютных прыжков, подъемов привязных аэростатов над Москвой
10775; Разрешение на проведение фейерверочных показов
10776; Государственный контракт на строительство
10777; Единый жилищный документ (автоматическое предоставление сведений по адресу гражданина в человекочитаемом представлении)
10778; Распоряжение о проведении итоговой проверки
10779; Программа проведения проверок при осуществлении государственного строительного надзора
10780; Запрос правоохранительных органов сведений о коде плательщика по неполным установочным данным
10781; Запрос правоохранительных органов сведений из единого жилищного документа по неполным установочным данным гражданина и коду плательщика
10782; Уведомление о приостановлении предоставления государственной услуги
10783; Уведомление о возобновлении предоставления государственной услуги
10784; Распоряжение префектуры административного округа города Москвы о проведении массовых культурно-просветительных мероприятий на территории административного округа города Москвы
10785; Схема прокладки линейных сооружений
10786; Схема территории строительства
10787; Схема проезда
10788; Договор о совершении сделки с правом аренды
10789; Документ, подтверждающий согласие органа, создавшего юридическое лицо на отказ от права постоянного (бессрочного) пользования
10790; Акт согласования границ земельного участка
10791; Свидетельство о включении в Реестр субъектов малого и среднего предпринимательства города Москвы
10792; Согласованный сторонами сделки документ, содержащий графическое и/или текстуальное описание части недвижимого имущества
10793; Согласие залогодержателя на последующий залог при наличии условия о согласии в предшествующем договоре о залоге права аренды
10794; Описание объектов нежилого фонда с указанием наименования, площадей и технических характеристик, соответствующих целям и задачам предприятия, а также места расположения объектов
10795; Технико-экономическое обоснование (ТЭО) целесообразности наделения предприятия объектами нежилого фонда
10796; Обоснование выбора конкретных объектов нежилого фонда
10797; Документы, подтверждающие переход по наследству объекта недвижимости, расположенного на земельном участке
10798; Пояснительное письмо от Заказчика с указанием причины (Только для просроченных разрешений)
10799; Ранее выданное разрешение на перемещение
10800; Постановление правительства Московской области/администрации района о проведении работ на земельном участке
10801; Поручение организации от административного органа на проведение работ
10802; Разрешение на строительство
10803; Разрешение и задание на проведение работ по сохранению объектов культурного наследия
10804; Сведения о согласовании проекта проведения (производства) работ
10805; Разрешение на установку и эксплуатацию рекламных конструкций
10806; Договор об отчуждении исключительного права
10807; Лицензионный договор
10808; Сублицензионный договор
10809; Запрос правоохранительных органов сведений по записям актов гражданского состояния
10810; Внесение изменений в схему размещения нестационарных торговых объектов в части изменения площади или местоположения сезонного (летнего) кафе
10811; Заявление об отзыве ИД
10812; Погашение ИД
10813; Свидетельство об аккредитации юридического лица и индивидуальных предпринимателей
10814; Документ, подтверждающий соответствие построенного, реконструированного объекта капитального строительства требованиям эксплуатацию сетей инженерно-технического обеспечения
10815; Паспорт или проект благоустройства территории
10816; Разрешение и задание на проведение работ по сохранению объекта культурного наследия, выявленного объекта культурного наследия и (или) разрешение на строительство
10817; Выписка из паспорта внешних поверхностей зданий, строений, сооружений в городе Москве
10818; Информация о начислениях, платежах и задолженностях с детализацией по услугам
10819; Уведомление о приостановлении по парковкам
10820; Уведомление об отказе в приеме документов
11111; Выписка о регистрации на портале
11118; Уведомление о приостановке по Детскому отдыху
11120; Заявление о соответствии построенного, реконструированного или отремонтированного здания или сооружения проектной документации
11199; Заявление о соответствии построенного, реконструированного или отремонтированного здания или сооружения требованиям технического регламента о безопасности зданий и сооружений
119; Извещение о признании граждан нуждающимися в содействии города Москвы в приобретении жилых помещений в рамках городских жилищных программ
124; Заверенные уполномоченным лицом префектуры административного округа города Москвы справки, выписки и копии документов (в т.ч. архивные) префектуры административного округа города Москвы по вопросам, затрагивающим права и законные интересы заявителя
125; Учредительные документы
126; Заверенные уполномоченным лицом управы района города Москвы справки, выписки и копии документов (в том числе архивные) управы района города Москвы по вопросам, затрагивающим права и законные интересы заявителя
129; Документ, свидетельствующий о жилищной обеспеченности заявителей, а также о факте проживания по месту жительства в г. Москве на законных основаниях в общей сложности не менее 10 лет, которые не могут быть затребованы в режиме одного окна
142; Архивная выписка
143; Обращение организации
147; Контракт (документ, подтверждающий полномочия руководителя)
148; Лицензия на вид деятельности
149; Приказ (документ, подтверждающий полномочия руководителя)
150; Протокол (документ, подтверждающий полномочия руководителя)
152; Устав (учредительные документы)
153; Учредительный договор (Учредительный документ)
164; Свидетельство (уведомительное письмо) на право аренды
171; Акт приемки к договору
172; Договор субаренды нежилого фонда (нежилого помещения, здания, сооружения), находящегося в собственности Москвы
173; Документы БТИ
174; Информационное письмо из органов госстатистики организации-арендатора
175; Информационное письмо из органов госстатистики организации-субарендатора
176; Подписанный организациями договор субаренды (заключенный до 1 года - 4экз., свыше 1 года - 5 экз.)
177; Положение (учредительный документ организации-арендатора)
178; Положение (учредительный документ организации-субарендатора)
179; Свидетельство о постановке на учет организации-арендатора
18; Заявление
180; Свидетельство о постановке на учет организации - субарендатора
181; Свидетельство о регистрации организации-арендатора
182; Свидетельство о регистрации организации-субарендатора
183; Свитедельство о регистрации изменений в учредительных документах организации-арендатора
184; Свитедельство о регистрации изменений в учредительных документах организации-субарендатора
185; Устав (учредительный документ организации-арендатора)
186; Устав (учредительный документ организации-субарендатора)
187; Учредительный договор (учредительный документ организации-арендатора)
188; Учредительный договор (учредительный документ организации-субарендатора)
189; Акт проверки
19; Свидетельство о заключении брака
190; Бухгалтерский баланс предприятия
193; Свидетельство о регистрации юридического лица
2; Документы, подтверждающие родственные отношения
20; Свидетельство о расторжении брака
20001; Документ, удостоверяющий личность заявителя (Паспорт гражданина РФ)
20002; Документ, удостоверяющий личность заявителя (Военный билет)
20003; Документ, удостоверяющий личность заявителя (Удостоверение личности офицера)
20004; Документ, удостоверяющий личность заявителя (Справка об освобождении из мест лишения свободы)
20005; Документ, удостоверяющий личность заявителя (Иностранный паспорт)
20006; Документ, удостоверяющий личность заявителя (Паспорт моряка)
20007; Документ, удостоверяющий личность заявителя (Вид на жительство в РФ)
20008; Документ, удостоверяющий личность заявителя (Удостоверение беженцев РФ)
20009; Документ, удостоверяющий личность заявителя (Свидетельство о регистрации ходатайства иммигранта о признании его беженцем)
20010; Документ, удостоверяющий личность заявителя (Временное удостоверение личности гражданина РФ (по форме 2П))
20011; Документ, удостоверяющий личность заявителя (Разрешение на временное проживание)
20012; Документ, удостоверяющий личность заявителя (Документ, удостоверяющий личность лица без гражданства)
20013; Документ, удостоверяющий личность заявителя (Документ, удостоверяющий личность иностранного гражданина)
20014; Документ, удостоверяющий личность заявителя (Заграничный паспорт)
20050; Паспорт гражданина СССР
206; Документы, подтверждающие полномочия руководителя юридического лица
22; Свидетельство о рождении
24; Выписка из журнала регистрации
241; Правоустанавливающие документы на земельный участок
2423; Решение
25; Мотивированный отказ
26; Удостоверение многодетной семьи города Москвы
260; Действующие льготные категории
262; Разрешение на установку объекта наружной рекламы и информации (по зонам общего городского назначения)
26203; Кадастровая выписка о земельном участке
2620300; тест_Кадастровая выписка о земельном участке
26204; Свидетельство о праве собственности на земельный участок
265; Трудовая книжка
276; Извещение о внесении изменений в учетное дело граждан, нуждающихся в жилых помещениях и состоящих на жилищном учете
30; Документы, подтверждающие льготы
300; Справка о предоставляемых мерах социальной поддержки (за последние 6 месяцев)
30001; Документ, удостоверяющий личность доверенного лица (Паспорт гражданина РФ)
30002; Документ, удостоверяющий личность доверенного лица (Военный билет)
30003; Документ, удостоверяющий личность доверенного лица (Удостоверение личности офицера)
30004; Документ, удостоверяющий личность доверенного лица (Справка об освобождении из мест лишения свободы)
30005; Документ, удостоверяющий личность доверенного лица (Иностранный паспорт)
30006; Документ, удостоверяющий личность доверенного лица (Паспорт моряка)
30007; Документ, удостоверяющий личность доверенного лица (Вид на жительство в РФ)
30008; Документ, удостоверяющий личность доверенного лица (Удостоверение беженцев РФ)
30009; Документ, удостоверяющий личность доверенного лица (Свидетельство о регистрации ходатайства иммигранта о признании его беженцем)
30010; Документ, удостоверяющий личность доверенного лица (Временное удостоверение личности гражданина РФ (по форме 2П))
30011; Документ, удостоверяющий личность доверенного лица (Разрешение на временное проживание)
30014; Документ, удостоверяющий личность доверенного лица (Заграничный паспорт)
31; Поэтажный план
333; Паспортное досье
342; График проведения работ
347; Свидетельство о регистрации транспортного средства
356; Нотариально заверенная копия действующей лицензии на розничную продажу алкогольной продукции
377; Уставные документы
38; Выписка из технического паспорта здания (строения) (Форма 1а)
380; Проектная документация
384; Выписка из протокола
39; Свидетельство о постановке на налоговый учет
393; Комплект документов ГУП МосгорБТИ
396; Лицензия на осуществление банковских операций
398; Документы, подтверждающие право собственности
40001; Документ, удостоверяющий личность супруга/супруги (Паспорт гражданина РФ)
400011; Документ, удостоверяющий личность супруга/супруги (Разрешение на временное проживание)
400012; Документ, удостоверяющий личность супруга/супруги (Документ, удостоверяющий личность лица без гражданства)
400013; Документ, удостоверяющий личность супруга/супруги (Документ, удостоверяющий личность иностранного гражданина)
40002; Документ, удостоверяющий личность супруга/супруги (Военный билет)
40003; Документ, удостоверяющий личность супруга/супруги (Удостоверение личности офицера)
40004; Документ, удостоверяющий личность супруга/супруги (Справка об освобождении из мест лишения свободы)
40005; Документ, удостоверяющий личность супруга/супруги (Иностранный паспорт)
40006; Документ, удостоверяющий личность супруга/супруги (Паспорт моряка)
40007; Документ, удостоверяющий личность супруга/супруги (Вид на жительство в РФ)
40008; Документ, удостоверяющий личность супруга/супруги (Удостоверение беженцев РФ)
40009; Документ, удостоверяющий личность супруга/супруги (Свидетельство о регистрации ходатайства иммигранта о признании его беженцем)
40010; Документ, удостоверяющий личность супруга/супруги (Временное удостоверение личности гражданина РФ (по форме 2П))
40011; Техническое заключение о допустимости и безопасности произв. работ по переустройству и (или) переплан. помещения, оформл. проектной организацией – автором проекта дома
40012; Копии правоустанавливающих документов на переустроенное и (или) перепланированное помещение в многоквартирном доме
40016; Согласие собственников или согласие в письменной форме всех членов семьи нанимателя (в том числе временно отсутствующих членов семьи нанимателя), занимающих помещение на основании договора соц.найма
40019; Технический паспорт переустраиваемого и (или) перепланируемого жилого помещения (квартиры) (для нежилого помещения - поэтажный план с экспликацией, выписка из технического паспорта на здание (форма5)
402; Выписка из ЕГРЮЛ (краткая)
4020; Выписка из ЕГРЮЛ
406; Нотариально заверенные копии документов, имеющих непосредственное отношение к заявителю
407; Свидетельства о регистрации в различных государственных органах
430; Информационное письмо с отрицательным ответом
431; Информационное письмо с рекомендациями
438; Документ, подтверждающий права владения конструкцией
439; Заключение по тех.экспертизе проекта конструкции и электроустановки объекта
440; Информационное письмо с положительным ответом
441; Карта-схема в необходимом масштабе предполагаемого места размещения объекта
443; Схема организации движения транспорта при производстве работ по устрову объекта
444; Технический чертеж конструкции с элементами крепления и схема электрической части
446; Техническое заключение о возможности размещения объекта с учетом геодезических особенностей и подземных коммуникаций при необходимости
447; Техническое заключение о соответствии объекта внешнему архитектурному облику города
448; Техническое заключение по обследованию соответствия установленного объекта проектной документации
449; Фотография места размещения объекта
457; Кадастровый паспорт здания (строения, сооружения, объекта незавершенного строительства)
458; Архивная копия
459; Справка о зарегистрированных по состоянию на 31 января 1998 года правах на объект жилищного фонда
460; Заключение органа по охране памятников архитектуры, истории и культуры о допустимости проведения переустройства и (или) перепланировки жилого помещения
461; Копии правоустанавливающих документов на переустраиваемое и (или) перепланируемое помещение в многоквартирном доме (при предъявлении подлинника), либо копии, заверенные нотариально
462; Проект переустройства и (или) перепланировки жилого помещения, подготовленный и оформленный в установленном порядке
464; Письменное согласие
465; Справка БТИ о состоянии здания/помещения (форма 5)
466; Технический паспорт жилого помещения
467; Справка о переходе прав на объект жилищного фонда до 31 января 1998 года
468; Счет/Квитанция об оплате
469; Выписка из Единого государственного реестра юридических лиц или ИП
470; Запрос нотариуса
471; Судебный акт арбитражного суда
472; Расширенная справка о зарегистрированных по состоянию на 31 января 1998 года правах на объект жилищного фонда (с указанием реквизитов правоустанавливающих документов)
480; Справка о наличии подсобного или фермерского хозяйства
482; Справка о правах отдельного лица на объекты жилищного фонда по состоянию на 31 января 1998 года
483; Градостроительная документация, утвержденная в установленном порядке
484; Доверенность установленного образца на получение документов БТИ
485; Договор аренды земельного участка
486; Документы о правах на имущество, находящееся на земельном участке
487; Документы, подтверждающие льготы по оформлению аренды земельного участка и по арендной плате за землю (группа документов)
489; Инвестиционный контракт и дополнительные соглашения к нему
490; Информационное письмо Госкомстата
491; Кадастровый план земельного участка
492; Копии документов о правах на имущество, находящееся на земельном участке
493; Копия информационного письма Госкомстата, заверенная печатью организации
494; Копия свидетельства о постановке на учет в налоговом органе юридического лица, заверенная печатью организации
495; Копия технического паспорта домовладения (здания, строения)
496; План земельного участка
497; Платежные документы об оплате выкупа права аренды земельного участка
498; Подтверждение итогов конкурса на выполнение функций заказчика
499; Распорядительный документ о предоставлении земельного участка
500; Распорядительный документ о строительстве объектов городского заказа
50001; Документ, удостоверяющий личность ребенка (Паспорт гражданина РФ)
50002; Документ, удостоверяющий личность ребенка (Заграничный паспорт)
50003; Документ удостоверяющий личность члена семьи (Заграничный паспорт)
50004; Документ, удостоверяющий личность заявителя (Заграничный паспорт)
501; Распорядительный документ об утверждении итогов конкурса (аукциона)
503; Стройгенплан, утвержденный в установленном порядке
504; Титул (на проектно-изыскательские работы, вновь начинаемой стройки, переходящей стройки)
505; Документ, содержащий сведения о реквизитах документов, удостоверяющих личность заявителя в период 1 января 1991 года- 31 января 1998 года
5050; Сертификат участника оздоровительной кампании
507; Выписка из распоряжения ДЖПиЖФ города Москвы по вопросу перевода жилых помещений в нежилой фонд
508; План переводимого помещения с его техническим описанием
509; Правоустанавливающие документы на переводимое помещение
510; Проект переустройства и (или) перепланировки переводимого помещения
512; Документы, подтверждающие права заявителя на объект
514; Архивная справка
519; Справка-подтверждение бюджетного финансирования
531; Согласие совершеннолетних членов семьи, зарегистрированных в данном жилом помещении
537; Правоустанавливающие документы
539; Распоряжение Департамента земельных ресурсов города Москвы
540; Согласие на совершение сделок
541; Справка о кодах Общероссийских классификаторов (ОКПО, ОКОНХ)
543; Документ, подтверждающий право постоянного (бессрочного) пользования земельным участком
544; Решение общего собрания собственников помещений в многоквартирном доме о формировании земельного участка
545; Договор о залоге права аренды земельного участка
546; Договор сделки с правом аренды земельного участка
548; Документы, подтверждающие полномочия лиц, подписавших договор (группа документов)
549; Решение сторон о сделке с правом аренды земельного участка
571; Распорядительный документ префектуры административного округа об утверждении адреса объекта недвижимости
572; Договор аренды
579; Договор субаренды
585; Справка о видах и размерах назначенной пенсии, выданная органом, осуществляющим пенсионное обеспечение
60001; Документ, удостоверяющий личность члена семьи (Паспорт гражданина РФ)
60002; Документ, удостоверяющий личность члена семьи (Военный билет)
60003; Документ, удостоверяющий личность члена семьи (Удостоверение личности офицера)
